gameid,genres
602520,"['Casual', 'Indie']"
65980,['Strategy']
234140,"['Action', 'Adventure']"
95400,"['Action', 'Adventure', 'Indie']"
429570,['Adventure']
873190,['Simulation']
259680,"['Adventure', 'Indie', 'RPG']"
26800,"['Casual', 'Indie', 'Strategy']"
1112790,"['Indie', 'Simulation', 'Strategy']"
108600,"['Indie', 'RPG', 'Simulation', 'Early Access']"
925930,"['Adventure', 'Casual']"
1244630,"['Adventure', 'Casual', 'Indie', 'Simulation']"
489940,"['Action', 'Free To Play']"
225640,['RPG']
570780,['RPG']
587000,"['Action', 'Indie', 'Simulation', 'Strategy']"
241540,"['Action', 'RPG', 'Simulation']"
999220,"['Adventure', 'Indie']"
3700,['Action']
228360,['Adventure']
394870,"['Violent', 'Action', 'Indie']"
104200,[]
1148590,[]
245280,[]
47700,[]
492500,[]
1569090,"['Simulation', 'Strategy']"
476360,"['Action', 'Indie']"
256190,['Action']
368340,"['Action', 'Adventure', 'Indie', 'RPG']"
1000010,"['Adventure', 'Indie', 'RPG', 'Strategy']"
233370,['Adventure']
375910,"['Simulation', 'Strategy']"
21120,['Action']
829590,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']"
397340,"['Indie', 'Simulation']"
